0,11.281,0,0,12.907,0,0,0,0.22956,7.157,0,0,8.6491,0,0,0,0.10072,0,12.895,25.608,0,4.4537,0,0,20.606,0,0,0,0,2.6434,0,0,4.3659,0,0,0,0,0,0,0,4.3072,0,48.506,2.0868,0,5.7578,0,15.097,19.749,0,14.183,184.23,0,0,24.577,7.8501,0,0,0,3.6224,0,0,0,0,8.8156,4.4244,0,56.396,0,425.94,0,0,0,52.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.712,24.002,46.351,24.133,39.448,25.488,0,0,41.998,24.108,20.805,9.3399,15.46,10.157,30.711,24.425,94.766,69.908,148.16,58.722,65.956,7.625,43.941,4.8038,0,10.282,38.122,10.335,4.9872,0,0,22.928,0,11.467,2.1738,36.678,2.9748,15.737,63.435,2.5008,20.78,2.2066,16.855,26.981,20.096,60.195,1.9899,11.226,135.97,23.939,58.791,23.202,10.417,7.3779,0,16.631,1.5123,0,41.362,35.674,19.049,0,8.2569,41.734,83.042,44.218,0,28.742,0,0,0,47.056,11.618,0,62.787,0,0,0,22.253,1.8679,0,7.0875,12.639,1.1615,0,28.181,0,110.27,45.213,12.981,0,24.079,31.771,42.442,43.765,21.52,16.523,12.476,0,43.943,8.032,12.684,20.841,28.56
150,25.131,0,0,12.287,0,0,0,0,0,0,0,2.0614,0,0,1.9683,32.049,16.281,2.3727,92.928,0,0,8.9772,0,7.5033,0,19.011,21.092,0,5.1318,0,0,0,0,4.6364,0,2.1199,0,0,0,11.654,0,69.222,5.5147,0,4.4564,0,3.5405,45.069,57.889,0,189.22,0,0,31.205,12.241,0,9.4312,0,0,68.6,0,0,0,45.658,0,0,53.279,0,638.46,0,0,0,0,11.475,13.267,0,0,0,0,0,0.12384,6.8234,0,36.55,38.336,0,0,0,0,0,9.3575,34.542,127.9,57.202,80.02,0,5.8667,0,63.946,20.096,42.429,45.304,8.4513,3.0937,125.88,28.016,63.6,23.847,128.47,122.39,189.93,99.07,61.979,18.626,0,18.202,0,5.9375,88.935,6.6541,31.874,0,38.669,14.014,20.806,27.863,33.76,22.034,6.6297,32.842,84.1,0,39.999,40.467,56.502,81.747,18.498,76.656,0,36.351,35.398,0,141.02,52.805,0,48.329,19.069,37.021,0,7.469,0,35.356,21.741,34.24,0,68.516,175.8,45.712,31.366,10.087,20.016,0,0,107.37,7.881,0,111.76,0,17.573,0,30.353,20.269,9.2942,59.075,0,39.852,31.99,3.6836,5.125,325.94,27.094,3.4938,10.172,66.084,77.903,11.354,18.254,50.645,2.1029,29.936,0,105.02,9.7574,5.0227,57.391,96.335
300,79.496,0,46.481,173.62,0,23.281,0,10.04,33.043,13.446,36.171,40,0,26.254,19.37,40.003,63.238,26.077,107.27,0,9.6446,90.719,18.181,27.604,35.689,72.47,20.907,0,36.752,27.387,39.292,42.007,24.152,39.129,20.006,68.825,5.3541,17.443,6.1217,90.791,32.244,118.18,72.956,27.658,21.077,0,39.081,86.36,133.02,24.017,200.33,16.208,0,38.259,72.39,0,14.412,0,25.38,134.88,13.696,0,2.6011,84.245,0,0,115.21,43.438,647.59,3.195,0,0,8.9817,44.038,36.514,17.444,0,41.24,0.1287,35.5,0,0,56.251,103.61,96.459,21.818,3.7066,0,133.34,0,22.609,72.834,146.01,100.54,87.112,68.266,89.006,72.649,79.649,102.12,124.54,91.589,27.779,78.154,308.34,138.12,163.65,65.288,237.83,264.57,259.58,138.1,272.49,106.53,105.78,84.754,20.29,27.801,179.53,61.044,92.879,0.090534,113.18,81.12,155.06,97.974,89.273,111.49,53.982,117.08,180.08,45.919,81.305,124.7,153.39,173.77,120.79,217.08,72.463,178.97,119.69,57.726,137.39,179.23,38.35,103.95,42.323,64.476,39.076,86.402,18.109,156.1,70.996,91.383,31.24,189.39,337.63,96.3,62.346,35.8,47.857,0,30.573,189.23,63.245,27.747,255.41,0,41.972,58.006,55.119,109.01,77.06,94.854,30.387,80.482,131.63,84.118,31.722,369.12,135.85,58.396,20.653,143.43,102.08,60.688,49.876,121.52,18.428,90.265,33.3,264.05,96.786,18.426,141.74,152.59
450,122.59,0,23.899,260.15,0,58.301,4.8501,4.2271,36.988,0,56.441,21.285,0,0.08936,10.156,33.687,107.64,55.127,58.195,13.603,25.29,170.35,62.785,4.9684,42.39,75.839,0,10.327,79.59,37.308,24.1,57.283,0,58.932,8.9755,78.262,92.005,0,5.3085,135.42,53.293,152.37,54.93,58.69,38.693,50.403,43.912,128.96,87.22,84.534,381.81,33.188,69.191,127.42,116.22,0,4.2455,13.231,67.686,271.05,53.097,8.8421,20.026,154.33,46.476,55.751,186.96,33.248,819.99,8.8955,17.854,4.8804,36.863,56.011,76.871,61.095,0,130.44,83.062,27.33,23.931,34.053,89.222,185.55,235.01,52.115,40.568,104.22,237.57,0,39.632,168.97,215.91,126.95,160.22,104.77,85.719,123.75,168.41,221.78,213.01,146.88,52.944,73.392,454.71,180.56,155.97,74.645,423.33,465.85,341.35,160.03,432.62,191.43,133.58,119.68,65.524,29.907,313.85,156.01,241.59,12.388,229.88,177.61,190.66,169.82,87.462,185.08,46.836,196.94,271.05,54.32,165.14,268.31,295.06,195.07,222.86,328.29,91.487,217.21,201.56,64.773,293.32,276.18,70.386,201.8,88.662,89.577,63.875,129.3,82.654,307.56,168.47,242.02,97.852,313.43,461.59,65.545,157.41,29.907,61.04,0,25.269,266.59,196.02,139.06,412.43,11.164,58.15,78.691,100.79,178.22,121.56,156.33,56.651,56.915,153.65,171.95,49.413,0,207.22,63.823,5.8464,137.84,179,130.76,139.35,195.31,45.17,137.94,39.73,373.39,209.12,46.516,193.4,207.32
600,237.97,71.764,74.567,448.73,40.563,188.21,0,4.573,80.56,54.48,131.2,76.099,0,10.411,31.336,70.831,249.72,160.72,128.29,44.894,108.99,274.23,225.54,60.845,94.179,229,52.981,39.941,222.47,78.301,42.828,163.99,23.491,154.88,27.345,168.76,234.25,68.858,31.781,169.04,39.398,250.15,146.35,114.17,57.008,106.21,96.18,204.22,155.51,183.35,585.81,57.53,228.6,164.83,203.25,16.539,49.438,46.278,78.686,431.79,125.56,111.23,82.2,262.28,105.74,93.971,245.64,130.1,1148.6,17.79,44.194,12.143,34.27,98.096,133.72,137.84,11.611,249.44,157.31,25.892,73.853,22.698,210.16,346.54,403.86,127.43,51.606,231,423.03,0,84.561,128.21,315.35,233.77,245.42,136.23,180.67,300.21,407.43,344.8,309.72,283,131.34,137.82,835.68,289.15,298.35,165.17,593.66,689.88,333.08,339.09,722.3,329.46,238.79,261.29,118.31,70.267,537.62,178.35,254.16,69.034,396.44,295.04,369.1,214.74,144.47,454.79,32.206,357.83,424.02,101.94,254.02,439.85,527.97,330.98,328.59,505.53,113.35,329.46,306.69,82.884,497.54,520.82,63.539,396.27,155.41,108.57,152.85,219.86,205.38,447.73,359.38,369.74,152.98,538.52,658.74,106.67,287.94,28.886,122.91,14.989,76.961,477.1,327.62,187.18,766.74,56.74,153.86,177.54,89.711,349.2,287.59,194.63,136.38,177.31,371.06,335.76,93.591,30.844,369.06,119.5,0,190.61,215.09,233.61,222.58,379.66,87.072,219.5,65.515,542.76,416.66,29.955,322.57,300.93
750,349.6,166.99,183.73,689.1,82.458,317.9,19.908,7.6888,112.75,81.671,263.14,72.969,0,53.892,40.227,112.94,427.53,320.45,246.88,130.23,64.757,333.03,336.08,97.422,165.15,377.51,52.103,77.741,277.96,177.63,90.724,263.72,0,275.09,84.875,198.56,384.22,131.27,58.63,168.69,144.41,342.67,284.63,129.95,133.2,186.88,114.06,293.97,307.29,332.24,884.52,91.344,421,196.59,212.3,83.011,166.52,214.71,116.52,640.39,231.61,205.4,252.19,373.17,167.07,200.16,438.86,185.66,1292.7,62.609,89.691,45.854,53.992,98.009,145.61,270.59,40.009,419.25,269.16,175.89,116.37,2.768,366.54,499.87,571.29,225.5,138.07,425.06,744.43,0,198.62,267.49,371.21,414.04,328.42,229.98,199.64,427.12,543.64,535.8,471.88,390.59,208.64,293.61,1238.7,428.27,457.04,173.19,818.15,958.81,427.53,415.7,965.07,500.16,355.14,382.76,185.27,87.949,833.01,347.64,332.95,171.52,632.29,457.32,440.57,292.57,221.37,664.39,56.573,497.64,705.18,98.022,469.64,682.36,766.1,457.72,542.82,819.29,188.84,730.04,494.7,151.92,475.88,728.14,59.669,711.55,314.51,122.06,229.76,340.67,337.04,766.28,698.02,636.1,266.14,711.64,945.87,214.65,543.02,88.419,176.07,0,96.642,735.89,546.82,343.94,1073.2,161.25,308.18,368.25,147.98,613.8,474.42,336.33,282.61,237.02,502.48,546.64,153.02,326.9,587.03,139.31,33.52,188.24,299.61,314.21,380.61,597.35,125.46,318.86,78.466,805.75,669.32,81.051,458.5,393.05
900,521.88,374.07,263.5,1051.4,222.66,512.69,74.136,85.904,283.66,220.28,420.78,165.68,37.699,104.71,79.181,242.67,675.96,482.97,357.07,297.98,289.17,562.05,600.45,172.13,284.51,572.68,198.86,148.34,526.53,289.23,172.31,422.56,68.006,557.89,160.88,316.98,446.75,188.89,133.6,471.19,268.71,557.52,474.77,299.03,155.59,364.13,262.52,471.05,417.3,546.32,1310.5,220.84,616.92,246.86,219.86,124.2,161.93,356.55,147.13,1014.4,333.9,315.57,400.21,636.3,321.14,339.89,664.41,305.07,1691.4,131.78,121.95,57.686,133.33,152.63,229.79,441.62,20.591,591.01,384,248.65,189.94,14.642,554.88,729.4,764.03,308.1,250.91,720.94,1007.5,0,307.12,780.69,408.18,623.08,455.3,345.19,284.38,659.6,845.29,881.4,651.85,638.18,400.57,499.68,1764.3,655.46,613.26,317.45,1066.6,1374.3,429.54,499.3,1388,741.88,410.84,575.47,338.96,175.28,1198.9,498.57,534.9,261.81,923.61,713.7,628.07,474.02,427.44,929.7,95.728,640.62,941.51,105.46,790.68,1059.3,1181.1,636.27,770.92,1023.6,384.44,1007,670.32,249.1,674.51,1117.6,72.406,953.56,509.88,151.36,429.78,457.38,638.1,1283.3,979.9,985.82,495.51,904.25,1280.6,355.02,785.73,126.86,332.25,3.0354,172.41,1039.6,909.53,461.94,1590.2,315.29,563.53,608.39,230.97,740.76,666.88,513.48,454.47,347.68,702.3,835.08,216.76,652.8,742.8,177.38,72.432,196.43,414.26,546.82,650.92,861.41,256.67,473.85,112.55,1091,948.2,135.85,635.76,603.15
1050,737.1,727.45,445.31,1493.5,367.67,710.77,151.45,97.816,347.61,319.75,503.56,242.85,29.947,226.74,83.016,338.15,1081.2,692.41,705.3,519.83,467.02,745.44,868.19,346.64,428.57,877.5,361.89,317.32,762.36,448.38,352.18,524.76,77.365,753.89,196,476.7,752.64,324.9,232.67,637.6,342.72,749.08,706.05,410.45,220.82,552.17,420.83,739.29,668.37,812.77,1917.1,397.31,1017,394.31,488.95,332.72,321.78,709.59,286.62,1424.2,535.17,467.38,687.48,857.91,555.33,511.65,937.76,499.59,2045.7,298.49,242.29,228.75,315.93,345.29,319.06,673.03,105.21,939.13,623.91,431.47,368.98,50.648,844.25,1043.7,1082.5,439.08,515.69,1230.6,1490.5,35.44,507.71,780.37,696.23,925.63,676.31,521.28,414.5,979.63,1227.7,1255,846.17,988.81,556.09,778.51,2433.2,934.28,963.22,378.93,1407.8,1813.3,558.13,691.25,1890.3,1037.8,766.33,808.68,429.76,295.65,1158,768.44,702.51,387.66,1234.2,1005.6,763.99,646.84,715.32,1263.9,56.654,854.91,1322.9,218.23,1218.1,1441.8,1651.4,853.14,1169.4,1424.1,484.49,1414.6,855.36,372.69,919.27,1605.1,235.28,1458,836.73,212.82,775.24,689.78,823.97,1841,1409.3,1409.6,789.16,1204.3,1783.7,521.46,1263.1,235.93,500.81,200.57,400.92,1551,1232,999.15,2234.8,627.08,962.7,1023.6,334.14,982.43,1129.2,804.12,768.38,674.64,1072.2,1278.5,384.03,614.12,846.88,328.69,135.6,269.09,623.73,935.1,1034.4,1232.5,400.06,618.02,183.02,1529.7,1428.1,306.21,910.68,739.73
1200,1077.3,1056.4,750.49,2180.3,621.35,979.9,271.29,130.32,513.75,599.46,847.25,309.6,53.944,398.48,159.78,527.86,1545.7,914.02,904.27,719.38,757.15,1060,1133.6,570.51,647.35,1092.4,607.25,451.5,1124.6,616.8,422.01,791.78,120.97,1155.7,313.81,650.42,1324.7,456.32,349.26,910.52,442.81,1021,956.69,606.71,326.74,764.94,593.07,986.67,888.03,1221.6,2492.9,631.9,1386.3,569,1269.3,561.56,464.34,1091.6,471.03,1848.2,728.5,737.87,1078.6,1147.4,856.51,768.19,1348.4,855.84,2523.8,416.53,521.8,423.72,487.16,629.67,402.43,960.77,193.67,1272.6,861.82,650.72,571.31,104.98,1309.4,1500.7,1423.4,676.04,890.8,1619.6,1971.5,160.77,787.36,1153.1,1003.5,1277.9,935.88,478.04,639.53,1241.9,1547.1,1628.9,1051,1326.3,825.17,959.76,2673,1118.3,1377.3,497.46,1740.4,2200.4,643.42,854.55,2183.8,1392.8,957.75,1124.4,615.77,417.38,1499.6,1086.3,741.41,535.21,1598.9,1351.9,992.92,789,949.41,1556,57.189,1129.5,1706.5,270.57,1595.9,1850.9,2063.8,1238.3,1484.2,1763.2,677.54,1732.1,1282.7,562.97,1149.7,2131.7,496.75,1907.2,1220.4,219.43,1106.1,947.27,1065,2324.9,1898.1,1900.4,1162.5,1439.5,2120.1,779.72,1802.1,315.21,697.78,173.6,523.27,2036.8,1456.9,931.68,2934.4,827.56,1400.6,1499.7,462.08,1274.8,1510.2,1149.9,1125.3,790.31,1372,1602.9,499.32,992.81,1163.6,444.99,170.1,296.1,744.78,1139.1,1486.2,1617.1,532.49,840.4,358.12,2056.7,1901.5,491.85,1100.2,1197.1
1350,1496.3,1331.5,1012.4,2754.8,930.56,1217.3,473.27,249.77,661.73,813.76,1016.6,290.41,122.35,607.45,235.34,761.85,1943.2,1268.1,1022.7,1164.6,1037.6,1524.2,1526.8,821.09,838.13,1531.1,960.1,798.95,1507.1,884.77,710.18,989.45,224.39,1596.9,460.77,930.19,1579.6,667.52,511.48,1139,578.76,1552.1,1167.2,830.4,489.69,1088.8,869.28,1329,1169.3,1572.3,3385.6,966.52,1822.1,814.78,1532.7,857.48,661.07,1443.7,672.32,2435.9,873.8,1116.5,1383.4,1512.5,1173.8,1106.1,1689.1,751.68,2926.8,632.86,683.85,540.53,743.19,914.58,521.27,1337.9,279.29,1613.6,1182.9,839.98,746.19,135.49,1596.7,2004.4,1696.8,994.43,1248.4,2232.1,2513.4,227.67,1114.7,1621.7,1408.6,1708.5,1326.1,829.13,859.73,1923.7,2147,2325.7,1410,1253.8,1152.3,1416.6,3045.7,1425.5,1856.8,748.68,1963.7,2623.2,955.85,1302.4,2376,1920.6,1302.2,1553.7,1018.3,666.53,2536.6,1557.2,1013.8,888.28,1993.8,1506.7,1282.8,1133,1429.2,1874.7,65.529,1441.4,2168.3,505.26,2208.9,2479.8,2684.5,1578.3,2063.7,2102.6,856.43,2596.7,1766.3,881.86,1509,2713,778.22,2560.6,1724.3,359.47,1557.9,1229,1404.8,2824.1,2583.7,2582.9,1609.6,1687.6,2569,1033,2338.8,442.86,965.38,438.64,739.64,2625.3,2037.1,1282.5,3636,1261.7,1910.5,2053.2,513.22,1600.3,2023.2,1514.9,1421,1189.3,1811.9,2199.6,707.28,1521.9,1374.8,626.6,319.83,279.16,1000.9,1513.7,2021.5,2020.2,799.25,1144,608.4,2674.1,2382,749.57,1413.7,1645.6
1500,1805.1,1741.2,1270.5,3534.5,1349.7,1644.9,628.29,318.98,941.1,1229.1,1509.2,378.67,242.1,773.27,408.69,1058.6,2565.1,1557.4,1527.7,1557.6,1404.8,2012.4,1874.7,1171.5,1235.4,1874.9,1351.3,1007.1,2012.9,1150.3,989.5,1208.8,305.49,2123.9,832.97,1217.6,2537.1,874.01,678.69,1478.3,714.17,2043.1,1571.6,1059.1,630.59,1442.7,1162.4,1764.9,1525.9,2112.3,4185.5,1371.8,2337.4,1079.2,2022.2,1190.5,951.87,1878.7,980.22,2988.3,1198,1545.9,1703.4,1958.4,1631.2,1514.1,2307,1038.2,3576.2,840.29,725.23,779.5,1045.5,1237.8,659.34,1755.8,385.61,1917.1,1474.2,1211.2,904.93,151.65,2175,2503.1,2094.4,1306.9,1770.5,2782.2,3075.3,352.3,1569.3,2202.9,1782.7,2146.7,1615.9,1138.3,1152.4,2276,2249.9,2857.6,1779.3,1783.7,1482,1716.9,3588.3,1864.8,2175,949.18,2680.6,3044,1195.4,1745.8,3194,2301.6,1494,2148.9,1742.1,954.67,2265.9,1890.5,1298.2,1156,2333.8,2005.5,1625.6,1358.5,1797.1,2856.9,54.733,1832.7,2596.7,624.11,2594.6,3026.5,3152,1974,2384.1,2450.6,1160.6,3065.7,2078.3,1158.9,2027.5,3313.6,1160.9,2924.1,2001.6,481.52,1961.9,1605,2004.1,3813.1,3438.6,3230.6,2002.6,1981.1,3018.8,1051.1,2996.7,601.32,1237.6,555.93,1358.1,3161.2,2489.1,1637.5,4332.9,1594.4,2456.3,2657.8,680.44,1910.2,2559.2,2002.1,1801.7,1482.7,2245.1,2690.2,891,1955.6,1754.7,1002.3,397.8,284.33,1240.5,1912.8,2379.1,2613,962.26,1481,797.42,3133.7,2870.3,1124.4,1861.8,2169.7
1650,2443.9,2372.5,1762.8,4481.2,1836.4,2174.6,961.18,479.75,1272.9,1763.4,1908.3,675.65,422.41,1231.1,638.95,1561.9,3275.9,2020.1,1833.9,2131,1837.5,2519,2418.5,1667.7,1616.3,2414.3,1871.4,1475.5,2631,1521,1397.9,1644.6,464.04,2906.3,1131.4,1693.1,3279.4,1182.6,1031.8,1980.5,1041,2344.4,2023,1360.3,894.45,1905.8,1423.7,2450.6,1855.7,2721.9,5306.9,1702.7,2882,1383.9,2631.5,1553.8,1288.7,2449.9,1321.1,3447.2,1189,1717.9,2242.2,1873.1,2146.1,1998.5,2793.6,1424.8,4282.2,1052,1271.4,950.5,1323.8,1735.1,902.3,2161,649.17,2372.5,1931.9,1486.5,1100.6,195.19,2503.1,3111,2438.2,1677.2,2222.4,3346.4,3876.7,557.38,1924.2,2590.9,2347.8,2668.4,2017.4,1731.1,1861.8,3043.7,2865.1,3915.3,2291.5,2360.2,2010.8,2248.5,4162.4,2454.5,2911.4,1338.9,3070.5,3845.9,1694.7,2451.7,3439.6,2925.6,2149.8,2635.2,1660.2,1380.6,2872.5,2611.5,1793.7,1538.6,2923.9,2636.2,2092.5,1917.3,2571.5,3492.2,108.58,2272.4,3497.7,886.05,3414.7,3928.1,3887.7,2501.5,3201.6,3257.4,1536,3906.4,2505,1758.8,2385.1,4389.9,1590.4,3654.5,2696.5,662.73,2556.7,2162.7,2370.7,4787,4466.9,4159,2777.7,2473.9,3683.3,1522.9,3708.2,795.78,1754.8,671.05,1876.5,3728.2,3214.3,2171.1,5604.2,2093.2,3423.3,3538.4,755.68,2579.5,3258,2620.3,2676.5,2017.1,2751.7,3221.7,1100.7,2749.4,2174.8,1250.4,612.08,345.48,1608.5,2348.6,3108.8,3592.8,1172.6,1966.2,1221.6,4107.3,3632.3,1640,2278.9,2589
1800,2855.4,2984.4,2097.7,5243.6,2469.2,2705,1306.9,729.22,1563,2336.7,2429.8,741.32,574.75,1652.1,1005.6,1960.6,4022.1,2647.6,2568.7,2694.3,2309.1,3111.7,2713.7,2132.1,1743.3,2937.3,2496.4,1990.2,3339.7,1737.8,1713.3,2179,589.15,3570.3,1685.6,2159.9,4131.3,1499,1411.3,2301.1,1384.1,3334.4,2177.6,1739.2,1074.4,2408.8,1972.1,2778.8,2243.4,3308.4,6238.2,2160.8,3660,1516.9,2960.6,1838,1573.6,3120.1,1775.6,4062.2,1646,2046.2,2916,2573.7,2602.1,2499.8,3102.5,2132.7,4926.8,1391.5,1583.2,1267.4,1742.4,2194.6,1117.9,2652.4,1031.7,2739.5,1982.9,1878.8,1506.1,219,2608.5,3688.1,2835.8,2252.8,2968.3,3897.6,4403,829.6,2494.1,3410.4,3063.1,3275.1,2412,2309.1,2288.3,3674,3614.1,4694.9,2698.6,3039.5,2655.2,2741.3,4646.9,2959.7,3448.6,1638.1,3831.9,4423.3,2059.9,2946.9,4026.4,3380,2690,3339.3,1978.5,1800.1,3413,3408.2,1952.2,1944.6,3211.2,3138,2440,2286.8,2902.8,4193.7,192.18,2741.9,4151.5,1122.8,4031.3,4797.9,4594,3041.3,3804.4,3780.8,1821.5,4716.7,3064.9,2151.6,2462.1,5193.3,2301.3,4435.2,3524.2,899.97,3475.4,2558.3,2832.3,5655.1,5324.3,5100.5,3626.9,3021.9,4412,2135.6,4661.6,1016.3,2235,975.51,2514,4679.4,3757.2,2839,6548.5,2691.1,4035.6,4219.1,945.11,3068.2,3773.5,3176.8,3264.2,2546.3,3427.8,3957.8,1440.9,3497,2795.7,1753.2,847.69,368.09,1932.4,3050.7,3771.3,4475.1,1510.5,2399.5,1882.8,4913.1,4371,2259.7,2995.8,3053.5
1950,3158.9,3492,2518.5,6448.1,3455.8,3184.2,1655.8,954.72,1894.9,2851.6,2054.1,813.24,446.55,2112.5,1227.2,2358.1,4886.4,3313.2,2848.2,3349.6,2851.7,3707.3,3239.5,2617.6,2472.8,3552.7,3037.4,2259.3,4158.2,2127.9,2027,2476.1,562.81,4651.3,2013,2579.8,3969.5,1707.8,1610.5,2772.2,1311.9,4195.9,2707.4,2027.2,1243,2979.2,2362,3635.3,2671.9,3921.6,7623.7,3024.4,4302.9,2210.5,3899.6,2339.4,2023.9,3271.5,2099,4790.2,1942.2,2436,3554.8,2613.2,3142.6,3114.5,3685.4,2649,5689.2,1672.3,1634.5,1598.8,2244.6,2021.4,1397.4,3274.5,571.76,3146.1,2879.5,2439.9,1774.6,146.26,2917.5,3872.2,3143.1,2698.1,3774.8,4786.5,5175.4,1105.3,3130.1,4049.2,3594.3,3888.1,2865.6,2809.1,2460.4,4419.6,5086.9,5575,3054.1,4012.4,3206,3262.3,5028.3,3459.4,4091.3,1918.5,4608.2,4998.7,2550.1,3626.2,4710.5,4247.4,3162,4248,2391.5,2298.8,5532,4091.5,2382.9,2380.4,3697.2,3670.1,2869.8,2521.1,3643.7,4897.3,198.89,3207.5,5212,1461.1,4409.3,5509.4,5318,3577.7,4605.7,4489.3,2224.2,5693.4,3585.6,2685.5,3691.3,6079.9,3100.1,5467.4,4113.4,1211.1,4110.9,3247.1,3690.8,6521.5,6713,6197.1,4591.6,3569.1,5149.6,2774.2,5585.9,1303.1,3035.9,1418.1,3348.2,5492.9,4348,3469.6,7961.9,3608.2,4641.7,5458.4,1154.5,3823.4,4880.7,3935.2,4212,3062.8,4236.3,4874.7,1752.3,4672.1,3466.1,2187.7,1107.2,450.9,2459.6,3542,4406.3,5145.9,1771.9,2982,2545.7,6307.5,5258.9,2973.7,3602.1,3758.7
